full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Ernest Hemingway;Male;1899;Chicago;United States;North America;Writer;Language;Humanities;110;31968926;290627;275.732
Muhammad ibn Musa al-Khwarizmi;Male;780;Khwarezm;Iran;Asia;Mathematician;Math;Science & Technology;100;3447071;34471;275.612
Jan Hus;Male;1372;Husinec;Czech Republic;Europe;Social Activist;Activism;Public Figure;54;4240802;78533;275.595
Charles Baudelaire;Male;1821;Paris;France;Europe;Writer;Language;Humanities;70;12673471;181050;275.592
Saddam Hussein;Male;1937;Al-Awja;Iraq;Asia;Politician;Government;Institutions;98;26122662;266558;275.586
Hans Christian Andersen;Male;1805;Odense;Denmark;Europe;Writer;Language;Humanities;103;14827483;143956;275.539
Mary I of Scotland;Female;1542;West Lothian;United Kingdom;Europe;Politician;Government;Institutions;55;5180936;94199;27.547
Umar;Male;586;Mecca;Saudi Arabia;Asia;Politician;Government;Institutions;92;7473596;81235;275.399
John Maynard Keynes;Male;1883;Cambridge;United Kingdom;Europe;Economist;Social Sciences;Science & Technology;92;12433489;135147;275.345
Antonín Dvořák;Male;1841;Nelahozeves;Czech Republic;Europe;Composer;Music;Arts;91;6571884;72219;275.298
Darius III of Persia;Male;-380;Other;Iran;Asia;Politician;Government;Institutions;54;1412723;26162;275.241
Ludwig Wittgenstein;Male;1889;Vienna;Austria;Europe;Philosopher;Philosophy;Humanities;83;8293279;99919;275.203
Cato the Elder;Male;-234;Tusculum;Italy;Europe;Writer;Language;Humanities;45;2401025;53356;275.188
Stanley Kubrick;Male;1928;New York;United States;North America;Film Director;Film And Theatre;Arts;89;20251814;227548;275.175
Lucretius;Male;-99;Other;Unknown;;Philosopher;Philosophy;Humanities;56;2366355;42256;275.164
Jack the Ripper;Male;1850;Other;United Kingdom;Europe;Extremist;Outlaws;Public Figure;55;26544061;482619;275.157
Cao Cao;Male;155;Bozhou;China;Asia;Military Personnel;Military;Institutions;37;6879760;185939;275.151
Francis Drake;Male;1540;Tavistock;United Kingdom;Europe;Pirate;Outlaws;Public Figure;82;8493359;103578;27.515
Nicholas II of Russia;Male;1868;Saint Petersburg;Russia;Europe;Politician;Government;Institutions;75;17680104;235735;275.054
Frida Kahlo;Female;1907;Coyoacán;Mexico;North America;Painter;Fine Arts;Arts;112;24591278;219565;275.025
Amerigo Vespucci;Male;1454;Florence;Italy;Europe;Explorer;Explorers;Exploration;66;8051998;122000;275.007
Gabriel García Márquez;Male;1927;Aracataca;Colombia;South America;Writer;Language;Humanities;103;19679103;191059;274.937
Catullus;Male;-84;Verona;Italy;Europe;Writer;Language;Humanities;50;2596338;51927;274.929
Plautus;Male;-254;Sarsina;Italy;Europe;Writer;Language;Humanities;45;2643125;58736;274.919
John Lennon;Male;1940;Liverpool;United Kingdom;Europe;Musician;Music;Arts;101;58141089;575654;274.916
Narmer;Male;-3100;Other;Unknown;Unknown;Politician;Government;Institutions;41;1698974;41438;274.834
Hypatia of Alexandria;Female;370;Alexandria;Egypt;Africa;Mathematician;Math;Science & Technology;58;6461837;111411;274.826
Guan Yu;Male;160;Yuncheng;China;Asia;Military Personnel;Military;Institutions;31;6082546;196211;274.805
Thomas Jefferson;Male;1743;Shadwell;United States;North America;Politician;Government;Institutions;113;26350722;233192;274.789
